DBbook_userID	DBbook_itemID
6873	6366
6873	4122
6873	7073
6873	5218
6873	1276
6873	3912
6873	4029
6873	3995
6873	2453
6873	1273
6873	3999
6873	7515
6873	1430
6873	3844
6873	7631
6873	2793
6873	3699
6873	7334
6874	7254
6874	7362
6874	8163
6874	1599
6874	4848
6874	1252
6872	6865
6872	740
6872	6025
6872	5943
6872	743
6872	4829
6872	5225
6872	742
6872	5941
6872	4489
6872	4311
6872	4314
6872	7483
6872	6007
6872	4191
6870	3999
6870	762
6870	6242
6870	2069
6870	558
6870	1541
6870	1542
6870	1645
6870	1640
6870	4342
6870	222
6870	4343
531	3
531	6210
531	6675
531	610
531	2494
531	4276
531	3888
531	4233
531	7222
531	142
530	1539
530	3955
530	5470
530	4718
530	5510
530	4190
530	4416
530	6381
530	5726
2951	2196
2951	2199
2951	5949
2951	5945
2951	7540
2951	5942
2951	2191
2951	6450
2951	4198
2951	6509
2951	3812
2951	7505
2951	6293
2951	7783
2951	5700
6869	5260
6869	40
6869	5136
6869	4005
6869	4007
6868	3984
6868	4822
6868	4537
6868	4611
6868	559
6868	4152
6868	884
6868	5110
6868	1484
6868	4617
6868	45
6868	5625
6868	2324
6868	8086
6868	6362
6868	7819
6868	4545
2950	66
2950	222
2950	6115
2950	6278
2950	5603
2950	6113
2950	5345
2950	6508
6867	3884
6867	2074
6867	272
6867	13
6867	7120
6867	665
6867	4071
1821	7821
1821	1507
1821	7817
1821	7530
1821	2979
6866	6522
6866	541
6866	6697
6866	2074
6866	2083
6866	4358
6866	6322
6866	5991
1822	20
1822	5842
1822	4596
1822	610
1822	7
1822	9
1822	3051
1822	3133
1822	7222
2955	8142
2955	5964
2955	3416
2955	6904
2955	5229
2955	4342
2955	7588
2955	4341
2955	1263
2955	4344
2955	4343
2955	7039
6865	3497
6865	7066
6865	4029
6865	2832
6865	8163
6865	3404
6865	4055
6864	4342
6864	580
6864	3592
6864	7150
6864	6006
6864	581
6864	5510
6864	4416
6864	935
6864	3326
6864	3956
6864	4356
6864	4919
532	7867
532	4048
532	1452
532	4878
532	3805
532	3804
532	3699
532	7424
532	7088
532	3399
532	3941
532	5308
532	4233
1820	1572
1820	2604
1820	4563
1820	6319
1820	6214
1820	430
1820	4152
1820	5946
1820	5885
1820	5229
1820	3051
1820	5077
1820	5447
1820	205
1825	790
1825	3368
1825	2
1825	1
1825	7248
1825	6056
1825	7758
1825	5569
539	159
539	6699
539	4107
539	3536
539	4612
539	889
539	4611
539	6418
539	884
539	4511
539	2204
539	7681
539	1481
539	3151
538	7039
538	4292
538	4683
538	2703
538	3825
538	7783
538	7301
538	39
538	7346
538	4602
538	2490
2956	3378
2956	2197
2956	2292
2956	2341
2956	2196
2956	7604
2956	2293
2956	4111
2956	1387
2956	2199
2956	3531
2956	2896
2956	5586
2959	2156
2959	4587
2959	6272
2959	5700
2959	6252
2959	2490
2959	3699
2959	7248
2959	6862
2959	1043
2959	4124
537	2781
537	5960
537	7899
537	1276
537	2921
537	7426
537	7620
536	6402
536	6220
536	5841
536	6214
536	8
536	3626
536	3655
1824	7672
1824	7673
1824	7470
1824	7471
1824	7676
1824	7677
1824	7675
1824	7476
1824	7472
1824	7473
1824	6848
1824	6985
1824	7475
1824	5465
1824	7330
1824	7469
1829	170
1829	2482
1829	5470
1829	160
1829	6118
1829	5306
1827	4342
1827	772
1827	4344
1827	5051
1827	4343
1827	776
1827	791
1827	4959
1827	6408
1827	4659
1827	4356
1827	4628
1828	1686
1828	3106
1828	2525
1828	7083
1828	6903
1828	2831
1828	6138
1828	6627
1828	6453
1828	4316
1828	7976
6882	1572
6882	4453
6882	5990
6882	7303
6882	5587
6882	2995
6882	6452
6882	6509
6882	2120
6882	580
6882	3812
6882	5700
6882	5072
6883	2064
6883	5960
6883	123
6883	6295
6883	5510
6883	8083
6883	1082
6883	6997
6883	4711
6883	8155
6883	2965
6883	7380
6883	7088
6883	4110
6883	2883
6885	7931
6885	2954
6885	7746
6885	2036
6885	2995
6885	6457
6885	102
6880	4869
6880	6358
6880	7505
6880	5343
6880	7442
6880	6688
6880	2921
6880	2799
6880	2324
6880	7440
6880	7338
2940	3705
2940	4774
2940	137
2940	4476
2940	4474
2940	170
2940	20
2940	4469
2940	726
2940	175
2940	143
2940	144
2940	3431
2940	147
540	3881
540	5947
540	2957
540	6614
540	5325
540	8163
540	7542
540	3539
540	7641
540	7483
540	2571
3	2923
3	1406
3	3736
3	4686
3	4530
3	3159
3	7954
3	4460
3	6974
3	1672
3	3544
3	3564
3	2945
2	2674
2	6060
2	5261
2	6021
2	4829
2	4489
2	706
2	5748
2	580
2	582
2	581
2	3690
2	7503
2	7238
542	1652
542	3765
542	5652
542	1985
542	7260
542	4850
541	208
541	168
541	5027
541	6609
541	163
541	3687
541	541
541	164
541	1511
541	440
541	160
541	4356
541	3642
541	4792
541	3646
541	1517
541	1516
6876	790
6876	5282
6876	5349
6876	5510
6876	4433
6876	5798
6876	7472
6876	5700
7	4198
7	6433
7	123
7	5960
7	4686
7	3884
7	7426
7	5726
7	5037
7	4602
7	2490
7	7248
7	6968
2943	4343
2943	5182
2943	6871
2943	6501
2943	1513
2943	1512
2943	583
2943	4356
2943	585
2943	4358
2943	6497
2943	268
2943	5849
6	6717
6	6111
6	4764
6	6006
6	228
6	6983
6	6719
6	7981
6	3522
6	5841
6	4467
6875	6644
6875	4198
6875	1969
6875	2085
6875	3005
6875	8070
6875	2922
6875	5006
